distance,dose
0.00,6.035904e+04
0.10,2.316775e+04
0.20,6.359623e+03
0.30,1.687566e+03
0.40,1.388575e+03
0.51,9.040179e+02
0.61,6.396976e+02
0.71,4.640149e+02
0.81,3.574767e+02
0.91,2.852956e+02
1.01,3.179441e+00
1.11,2.304972e+00
1.21,1.647522e+00
1.31,1.177252e+00
1.41,8.640375e-01
1.52,6.781388e-01
1.62,5.883304e-01
1.72,5.693329e-01
1.82,5.751648e-01
1.92,5.149623e-01
2.02,4.652836e-01
2.12,4.445739e-01
2.22,4.275266e-01
2.32,3.687474e-01
2.42,3.284343e-01
2.53,2.962709e-01
2.63,2.939492e-01
2.73,2.615564e-01
2.83,2.731812e-01
2.93,2.590914e-01
3.03,2.242530e-01
3.13,1.959358e-01
3.23,1.784694e-01
3.33,1.646531e-01
3.43,1.661924e-01
3.54,1.658264e-01
3.64,1.574289e-01
3.74,1.558536e-01
3.84,1.552329e-01
3.94,1.414330e-01
4.04,1.305457e-01
4.14,1.130439e-01
4.24,1.018652e-01
4.34,1.029287e-01
4.44,1.034472e-01
4.55,9.805878e-02
4.65,9.513979e-02
4.75,9.049280e-02
4.85,8.423528e-02
4.95,7.889324e-02
5.05,7.433844e-02
5.15,7.136593e-02
5.25,6.696239e-02
5.35,6.428283e-02
5.45,6.574102e-02
5.56,6.451229e-02
5.66,5.976650e-02
5.76,5.917709e-02
5.86,5.789548e-02
5.96,5.524612e-02
6.06,5.290570e-02
6.16,4.739654e-02
6.26,4.825601e-02
6.36,4.872457e-02
6.46,4.677127e-02
6.57,4.493941e-02
6.67,4.309424e-02
6.77,4.036281e-02
6.87,3.988834e-02
6.97,3.939160e-02
7.07,3.538075e-02
7.17,3.583669e-02
7.27,3.535057e-02
7.37,3.304273e-02
7.47,3.203075e-02
7.58,3.078350e-02
7.68,2.994929e-02
7.78,2.625934e-02
7.88,2.492051e-02
7.98,2.574461e-02
8.08,2.555250e-02
8.18,2.542731e-02
8.28,2.636646e-02
8.38,2.790902e-02
8.48,2.691895e-02
8.59,2.606543e-02
8.69,2.595633e-02
8.79,2.541585e-02
8.89,2.470881e-02
8.99,2.288492e-02
9.09,2.226260e-02
9.19,2.296539e-02
9.29,2.242947e-02
9.39,2.248539e-02
9.49,2.124999e-02
9.60,2.014345e-02
9.70,1.958983e-02
9.80,1.989746e-02
9.90,2.139933e-02
10.00,2.442339e-02
